Pclass,Name,Sex,Age,Siblings/Spouses Aboard,Parents/Children Aboard,Fare,Survived
1,Mrs. William Thompson (Edith Junkins) Graham,female,58.0,0,1,153.4625,1
3,Mr. Chang Chip,male,32.0,0,0,56.4958,1
2,Mrs. Nicholas (Adele Achem) Nasser,female,14.0,1,0,30.0708,1
2,Mr. Lawrence Gavey,male,26.0,0,0,10.5,0
2,Mr. Charles Henry Davies,male,18.0,0,0,73.5,0
1,Mr. Thomas Clinton Pears,male,29.0,1,0,66.6,0
3,Mr. Ernst Gilbert Danbom,male,34.0,1,1,14.4,0
3,Mr. Martin McMahon,male,19.0,0,0,7.75,0
3,Miss. Hanora O'Leary,female,16.0,0,0,7.8292,1
3,Mr. August Edvard Andersson,male,27.0,0,0,7.7958,1
3,Mr. Fridtjof Arne Madsen,male,24.0,0,0,7.1417,1
3,Miss. Mary Mangan,female,30.5,0,0,7.75,0
3,Miss. Katie Peters,female,28.0,0,0,8.1375,0
3,Mr. Andrew Keane,male,20.0,0,0,7.75,0
3,Mr. Gerious Youseff,male,45.5,0,0,7.225,0
2,Mr. Moses Aaron Troupiansky,male,23.0,0,0,13.0,0
3,Master. Meier Moor,male,6.0,0,1,12.475,1
2,Mr. Edward H Wheadon,male,66.0,0,0,10.5,0
2,Mr. Sebastiano del Carlo,male,29.0,1,0,27.7208,0
1,Mr. Thomas Drake Martinez Cardeza,male,36.0,0,1,512.3292,1
1,Mr. Frederick Sutton,male,61.0,0,0,32.3208,0
3,Miss. Luise Gretchen Kink-Heilmann,female,4.0,0,2,22.025,1
1,Miss. Elizabeth Margaret Burns,female,41.0,0,0,134.5,1
3,Mr. Jakob Alfred Johanson,male,34.0,0,0,6.4958,0
3,Mr. Manuel Estanslas Goncalves,male,38.0,0,0,7.05,0
3,Mrs. Anders Johan (Alfrida Konstantia Brogren) Andersson,female,39.0,1,5,31.275,0
3,Miss. Elizabeth Dowdell,female,30.0,0,0,12.475,1
3,Mr. Eugene Patrick Daly,male,29.0,0,0,7.75,1
1,Mr. Elmer Zebley Taylor,male,48.0,1,0,52.0,1
2,Mr. David Reeves,male,36.0,0,0,10.5,0
1,Mr. Wyckoff Van der hoef,male,61.0,0,0,33.5,0
3,Mr. Rene Aime Lievens,male,24.0,0,0,9.5,0
3,Mr. Victor Francis Sunderland,male,16.0,0,0,8.05,1
1,Mr. William Thomas Stead,male,62.0,0,0,26.55,0
3,Miss. Banoura Ayoub,female,13.0,0,0,7.2292,1
3,Mr. Harry Corn,male,30.0,0,0,8.05,0
1,Mr. George Edward Graham,male,38.0,0,1,153.4625,0
3,Miss. Saiide Barbara,female,18.0,0,1,14.4542,0
1,Mrs. Edward Scott (Elisabeth Walton McMillan) Robert,female,43.0,0,1,211.3375,1
3,Mr. Charles Edward Goodwin,male,14.0,5,2,46.9,0
1,Miss. Gretchen Fiske Longley,female,21.0,0,0,77.9583,1
3,Mr. Johan Hansen Nysveen,male,61.0,0,0,6.2375,0
3,Mr. Petco Slabenoff,male,42.0,0,0,7.8958,0
3,Mr. Abraham (David Lishin) Harmer,male,25.0,0,0,7.25,0
3,Mr. Ignjac Hendekovic,male,28.0,0,0,7.8958,0
3,Mr. Francis William Somerton,male,30.0,0,0,8.05,0
3,Mr. Ali Lam,male,37.0,0,0,56.4958,1
3,Mr. Edward Roland Stanley,male,21.0,0,0,8.05,0
1,Dr. Max Stahelin-Maeglin,male,32.0,0,0,30.5,1
3,Mr. Johan Svensson Lundahl,male,51.0,0,0,7.0542,0
3,Mr. Viktor Richard Rosblom,male,18.0,1,1,20.2125,0
2,Dr. Alfred Pain,male,23.0,0,0,10.5,0
1,Mr. Frederick Maxfield Hoyt,male,38.0,1,0,90.0,1
3,Mr. Neal McNamee,male,24.0,1,0,16.1,0
3,Mr. Edward Arthur Dorking,male,19.0,0,0,8.05,1
1,Mr. John Farthing,male,49.0,0,0,221.7792,0
3,Mr. Jovan Dimic,male,42.0,0,0,8.6625,0
3,Miss. Hileni Zabour,female,14.5,1,0,14.4542,0
3,Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren) Danbom,female,28.0,1,1,14.4,0
3,Mr. Selman Francis Slocovski,male,20.0,0,0,8.05,0
3,Mr. Nils Johan Goransson Olsson,male,28.0,0,0,7.8542,0
3,Mrs. Thomas (Johanna Godfrey) O'Brien,female,26.0,1,0,15.5,1
2,Miss. Julie Rachel Christy,female,25.0,1,1,30.0,1
2,Mr. Reginald Hale,male,30.0,0,0,13.0,0
3,Miss. Ellen Natalia Pettersson,female,18.0,0,0,7.775,0
3,Mr. Emil Christmann,male,29.0,0,0,8.05,0
2,Mrs. Sidney Samuel (Amy Frances Christy) Jacobsohn,female,24.0,2,1,27.0,1
2,Mr. Alfred Fleming Cunningham,male,22.0,0,0,0.0,0
1,Miss. Elise Lurette,female,58.0,0,0,146.5208,1
1,Mr. Richard Frasar White,male,21.0,0,1,77.2875,0
1,Mr. Alexander Oskar Holverson,male,42.0,1,0,52.0,0
1,Miss. Marie Grice Young,female,36.0,0,0,135.6333,1
2,Mr. Frederick William Pengelly,male,19.0,0,0,10.5,0
3,Mr. Claus Peter Hansen,male,41.0,2,0,14.1083,0
1,Miss. Alice Elizabeth Fortune,female,24.0,3,2,263.0,1
2,Mr. Joseph J Fynney,male,35.0,0,0,26.0,0
3,Miss. Katriina Jussila,female,20.0,1,0,9.825,0
3,Master. Karl Thorsten Skoog,male,10.0,3,2,27.9,0
3,Mr. Frank Duane,male,65.0,0,0,7.75,0
3,Mr. Henry Damsgaard Hansen,male,21.0,0,0,7.8542,0
3,Mr. James Moran,male,27.0,0,0,8.4583,0
3,Mr. Domingos Fernandeo Coelho,male,20.0,0,0,7.05,0
2,Mrs. Amin S (Marie Marthe Thuillard) Jerwan,female,23.0,0,0,13.7917,1
1,Mr. Arthur H Gee,male,47.0,0,0,38.5,0
3,Miss. Anna Sofia Sjoblom,female,18.0,0,0,7.4958,1
2,Miss. Ellen Toomey,female,50.0,0,0,10.5,1
1,Mrs. John Borland (Marian Longstreth Morris) Thayer,female,39.0,1,1,110.8833,1
3,Mr. Johan Svensson,male,74.0,0,0,7.775,0
2,Mr. Charles Eugene Williams,male,23.0,0,0,13.0,1
3,Mr. Daniel J Moran,male,28.0,1,0,24.15,0
3,Mr. Hans Linus Eklund,male,16.0,0,0,7.775,0
3,Mr. Karl Ivar Sven Berglund,male,22.0,0,0,9.35,0
1,Mr. Edgar Joseph Meyer,male,28.0,1,0,82.1708,0
1,Mr. George Wright,male,62.0,0,0,26.55,0
3,Mr. Jose Neto Jardin,male,21.0,0,0,7.05,0
2,Mrs. James Vivian (Lulu Thorne Christian) Drew,female,34.0,1,1,32.5,1
3,Mrs. Guillaume Joseph (Emma) de Messemaeker,female,36.0,1,0,17.4,1
3,Mr. Frank John Goldsmith,male,33.0,1,1,20.525,0
1,Mr. Fletcher Fellows Williams-Lambert,male,43.0,0,0,35.0,0
3,Mr. Patrick Ryan,male,30.0,0,0,24.15,0
3,Miss. Hildur E Hirvonen,female,2.0,0,1,12.2875,1
1,Miss. Hedwig Margaritha Frolicher,female,22.0,0,2,49.5,1
3,Mrs. Julius (Emelia Maria Vandemoortele) Vander Planke,female,31.0,1,0,18.0,0
2,Mr. Kurt Arnold Gottfrid Bryhl,male,25.0,1,0,26.0,0
2,Mr. Ambrose Jr Hood,male,21.0,0,0,73.5,0
1,Col. Oberst Alfons Simonius-Blumer,male,56.0,0,0,35.5,1
1,Mr. John Borland Thayer,male,49.0,1,1,110.8833,0
3,Miss. Adele Kiamie Najib,female,15.0,0,0,7.225,1
3,Mr. Fahim Leeni,male,22.0,0,0,7.225,1
1,Mrs. John C (Anna Andrews) Hogeboom,female,51.0,1,0,77.9583,1
2,Mrs. Ernest Courtenay (Lilian Hughes) Carter,female,44.0,1,0,26.0,0
3,Master. Sigvard Harald Elias Andersson,male,4.0,4,2,31.275,0
1,Mr. Arthur Ernest Nicholson,male,64.0,0,0,26.0,0
3,Miss. Helene Barbara Baclini,female,0.75,2,1,19.2583,1
3,Mr. Matti Alexanteri Maenpaa,male,22.0,0,0,7.125,0
1,Major. Archibald Willingham Butt,male,45.0,0,0,26.55,0
3,Mrs. William (Anna Bernhardina Karlsson) Skoog,female,45.0,1,4,27.9,0
2,Miss. Madeleine Violet Mellinger,female,13.0,0,1,19.5,1
2,Miss. Bertha Ilett,female,17.0,0,0,10.5,1
1,Mr. Adolphe Saalfeld,male,47.0,0,0,30.5,1
3,Mr. Liudevit Cor,male,19.0,0,0,7.8958,0
3,Master. William Loch Coutts,male,3.0,1,1,15.9,1
1,Mr. Hugh Woolner,male,46.0,0,0,35.5,1
1,Sir. Cosmo Edmund Duff Gordon,male,49.0,1,0,56.9292,1
1,Miss. Harriet R Crosby,female,36.0,0,2,71.0,1
3,Mr. Johan Birger Gustafsson,male,28.0,2,0,7.925,0
3,Miss. Matilda Petranec,female,28.0,0,0,7.8958,0
1,Miss. Roberta Maioni,female,16.0,0,0,86.5,1
3,Mrs. Hjalmar (Agnes Charlotta Bengtsson) Sandstrom,female,24.0,0,2,16.7,1
3,Mr. William Neal Ford,male,16.0,1,3,34.375,0
1,Mr. Charles H Natsch,male,37.0,0,1,29.7,0
3,Mr. Erik Johansson,male,22.0,0,0,7.7958,0
3,Miss. Margaret Delia Devaney,female,19.0,0,0,7.8792,1
3,Mr. Arthur Keefe,male,39.0,0,0,7.25,0
3,Mr. Thomas J Kilgannon,male,22.0,0,0,7.7375,0
3,Miss. Virginia Ethel Emanuel,female,5.0,0,0,12.475,1
2,Mr. Arne Jonas Fahlstrom,male,18.0,0,0,13.0,0
1,Mrs. James (Helene DeLaudeniere Chaput) Baxter,female,50.0,0,1,247.5208,1
3,Miss. Stella Anna Sage,female,21.0,8,2,69.55,0
3,Master. Urho Abraham Panula,male,2.0,4,1,39.6875,0
3,Mr. John Viktor Bengtsson,male,26.0,0,0,7.775,0
3,Mr. Austin Blyler van Billiard,male,40.5,0,2,14.5,0
3,Mr. Branko Dakic,male,19.0,0,0,10.1708,0
1,Mr. Emil Taussig,male,52.0,1,1,79.65,0
3,Mr. David Charters,male,21.0,0,0,7.7333,0
3,Mr. Pehr Fabian Oliver Malkolm Myhrman,male,18.0,0,0,7.75,0
1,Mrs. (Edith Martha Bowerman) Chibnall,female,48.0,0,1,55.0,1
1,Mr. Francis Davis Millet,male,65.0,0,0,26.55,0
3,Mr. Kanio Ivanoff,male,20.0,0,0,7.8958,0
3,Mr. William Henry Saundercock,male,20.0,0,0,8.05,0
3,Mrs. Thomas Henry (Mary E Finck) Davison,female,34.0,1,0,16.1,1
3,Mr. Ristiu Dantcheff,male,25.0,0,0,7.8958,0
1,Mr. Charles Hallace Romaine,male,45.0,0,0,26.55,1
1,Miss. Margaret Bechstein Hays,female,24.0,0,0,83.1583,1
3,Miss. Helen Mary Mockler,female,23.0,0,0,7.8792,1
3,Mr. Patrick D O'Connell,male,18.0,0,0,7.7333,0
1,Mr. William Baird Silvey,male,50.0,1,0,55.9,0
2,Mr. George Harris,male,62.0,0,0,10.5,1
2,Mrs. Peter Henry (Lillian Jefferys) Renouf,female,30.0,3,0,21.0,1
2,Miss. Hilda Mary Slayter,female,30.0,0,0,12.35,1
1,Mr. Ervin G Lewy,male,30.0,0,0,27.7208,0
1,Miss. Margaret Fleming,female,42.0,0,0,110.8833,1
2,Mrs. Frederick Charles (Jane Richards) Quick,female,33.0,0,2,26.0,1
3,Mr. Youssef Samaan,male,16.0,2,0,21.6792,0
2,Mr. Sinai Kantor,male,34.0,1,0,26.0,0
3,Mr. William Henry Allen,male,35.0,0,0,8.05,0
3,Mr. Sahid Nakid,male,20.0,1,1,15.7417,1
3,Miss. Marie Catherine Baclini,female,5.0,2,1,19.2583,1
3,Mr. Roger Tobin,male,20.0,0,0,7.75,0
3,Miss. Helen Carr,female,16.0,0,0,7.75,1
1,Mrs. Charles Melville (Clara Jennings Gregg) Hays,female,52.0,1,1,93.5,1
3,Mr. Jacob Cook,male,43.0,0,0,8.05,0
1,Mr. Herbert Fuller Chaffee,male,46.0,1,0,61.175,0
3,Mr. Olaf Elon Osen,male,16.0,0,0,9.2167,0
3,Mr. Alfred Johnson,male,49.0,0,0,0.0,0
3,Mr. Mansouer Novel,male,28.5,0,0,7.2292,0
3,Mrs. Stanton (Rosa Hunt) Abbott,female,35.0,1,1,20.25,1
2,Miss. Phyllis May Quick,female,2.0,1,1,26.0,1
3,Mr. Choong Foo,male,32.0,0,0,56.4958,1
2,Miss. Amelia Brown,female,24.0,0,0,13.0,1
3,Miss. Thamine Zabour,female,19.0,1,0,14.4542,0
1,Miss. Gladys Cherry,female,30.0,0,0,86.5,1
3,Mr. Philip Kiernan,male,22.0,1,0,7.75,0
2,Mrs. (Elizabeth Ramell) Nye,female,29.0,0,0,10.5,1
1,Mr. Quigg Edmond Baxter,male,24.0,0,1,247.5208,0
3,Mr. Joseph Murdlin,male,22.0,0,0,8.05,0
3,Mr. Vincenz Kink,male,26.0,2,0,8.6625,0
1,Mr. Herman Klaber,male,41.0,0,0,26.55,0
3,Miss. Ida Lefebre,female,3.0,3,1,25.4667,0
3,Miss. Lillian Amy Goodwin,female,16.0,5,2,46.9,0
3,Mr. Anthony Abbing,male,42.0,0,0,7.55,0
3,Mr. Amin Saad,male,30.0,0,0,7.2292,0
1,the Countess. of (Lucy Noel Martha Dyer-Edwards) Rothes,female,33.0,0,0,86.5,1
2,Mr. Jacob Christian Milling,male,48.0,0,0,13.0,0
1,Master. Washington Dodge,male,4.0,0,2,81.8583,1
3,Mr. Thor Anderson Olsvigen,male,20.0,0,0,9.225,0
3,Mr. Raihed Razi,male,30.0,0,0,7.2292,0
3,Mr. Mile Smiljanic,male,37.0,0,0,8.6625,0
3,Master. Edvin Rojj Felix Asplund,male,3.0,4,2,31.3875,1
3,Mrs. William Arthur (Cordelia K Stanlick) Lobb,female,26.0,1,0,16.1,0
2,Mr. Albert Mallet,male,31.0,1,1,37.0042,0
3,Mr. Patrick Connors,male,70.5,0,0,7.75,0
3,Mr. Jakob Pasic,male,21.0,0,0,8.6625,0
1,Miss. Daisy E Minahan,female,33.0,1,0,90.0,1
2,Rev. John Harper,male,28.0,0,1,33.0,0
1,Miss. Emily Borie Ryerson,female,18.0,2,2,262.375,1
2,Mr. Robert William Norman Leyson,male,24.0,0,0,10.5,0
3,Mr. Daniel Danielsen Gronnestad,male,32.0,0,0,8.3625,0
2,Mrs. (Lutie Davis) Parrish,female,50.0,0,1,26.0,1
2,Mr. William John Berriman,male,23.0,0,0,13.0,0
3,Mr. George Henry Green,male,51.0,0,0,8.05,0
3,Miss. Carla Christine Nielsine Andersen-Jensen,female,19.0,1,0,7.8542,1
1,Mr. George Quincy Clifford,male,40.0,0,0,52.0,0
3,Mr. Kristo Laleff,male,23.0,0,0,7.8958,0
2,Miss. Kate Florence Phillips,female,19.0,0,0,26.0,1
1,Mr. Tyrell William Cavendish,male,36.0,1,0,78.85,0
1,Miss. Mary Natalie Wick,female,31.0,0,2,164.8667,1
